Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NTN - DEEP GROVE BALL BEARING,6201ZZ-1/2*,code128,NTN,BEARING,PC,PC,dozen,700,1050,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6202ZZ*,code128,NTN,BEARING,PC,PC,dozen,600,900,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6202LLU*,code128,NTN,BEARING,PC,PC,dozen,630,945,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203LLU*,code128,NTN,BEARING,PC,PC,dozen,680,1020,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6204CM*,code128,NTN,BEARING,PC,PC,dozen,710,1065,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6204ZZ*,code128,NTN,BEARING,PC,PC,dozen,750,1125,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6204LLU*,code128,NTN,BEARING,PC,PC,dozen,700,1050,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6205CM*,code128,NTN,BEARING,PC,PC,dozen,725,1090,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6300ZZ*,code128,NTN,BEARING,PC,PC,dozen,750,1125,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301ZZ*,code128,NTN,BEARING,PC,PC,dozen,800,1200,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301CM*,code128,NTN,BEARING,PC,PC,dozen,620,930,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6302CM*,code128,NTN,BEARING,PC,PC,dozen,660,990,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6302LLU*,code128,NTN,BEARING,PC,PC,dozen,775,1165,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6303ZZ*,code128,NTN,BEARING,PC,PC,dozen,790,1185,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6304ZZ*,code128,NTN,BEARING,PC,PC,dozen,900,1350,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,CS203LLU*,code128,NTN,BEARING,PC,PC,dozen,1100,1650,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - NEEDLE ROLLER BEARING,HK15/12D*,code128,NTN,BEARING,PC,PC,dozen,750,1125,20,No Tax,exclusive,no_image.png,NRB,,,,,,,
NTN - NEEDLE ROLLER BEARING,HK15/16D*,code128,NTN,BEARING,PC,PC,dozen,820,1230,20,No Tax,exclusive,no_image.png,NRB,,,,,,,
NTN - NEEDLE ROLLER BEARING,HK22/16D*,code128,NTN,BEARING,PC,PC,dozen,950,1425,20,No Tax,exclusive,no_image.png,NRB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/28CM*,code128,NTN,BEARING,PC,PC,dozen,1460,2190,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/28LLU*,code128,NTN,BEARING,PC,PC,dozen,1680,2520,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
